Gene	c0.05	c0.11	c0.16	c0.22	c0.30	L0.05	L0.11	L0.16	L0.22	L0.30	n0.05	n0.11	n0.16	n0.22	n0.30	p0.05	p0.11	p0.16	p0.22	p0.30	u0.05	u0.11	u0.16	u0.22	u0.30
Q0250	0.605374382783742	0.676004285994225	0.60875237880982	0.731383815880597	0.243247951214158	-2.18251417077373	-2.294293537571	-2.79932735059738	-2.66028839912774	-1.84944996067173	0.183024676175948	-0.142725206364958	-0.141715803921972	-1.36758217722506	-1.60399804672959	-0.196066436870054	-0.224161523890706	-0.525504968384142	-0.882265950490621	-1.69075157224864	-0.345239928961908	-1.44758844984905	-1.88914528799848	-1.36710966496183	-1.40939993585807
YAL003W	-0.457770043794322	-0.523911259079662	-0.495588505238297	-0.463632829296719	-0.571106354392375	-0.674724946835564	-0.67795560413112	-0.682031323088716	-0.387443962649627	-0.293246692570721	-0.385719925417408	-0.500186520841044	-0.361949975274886	-0.409279572141941	-0.257579495459384	0.0891680491634561	0.125744615404287	-0.0555659307898765	-0.0128204878740299	-0.0409577564713583	-0.223617086848054	-0.739911653732164	-0.762628087599105	-0.424779839506823	-0.230735173459997
YAL005C	-0.228601366151906	-0.592487211972568	-0.519658126052331	-0.47179259831891	-0.810310828714882	-1.00662472374644	-1.26295361425165	-1.42301197616624	-1.34027691674056	-1.07701317284472	0.220370485668599	-0.838138624342974	-0.897602264686571	-1.05135034754007	-0.98952249763931	-0.109645385746597	-0.474416918952794	-0.691403876576713	-0.893698407469736	-1.15334895625017	0.172233766974874	-0.559264111369912	-1.00008460655226	-1.18759321685808	-1.05930732912556
YAL012W	-0.555126251749728	-0.0386031935361108	0.136586745388647	0.108889252040113	0.416354156079931	0.504863479456118	0.666390967237678	0.752441667307315	0.808444126657981	0.750037732740078	0.0419041448183797	0.53137824728397	0.672965018465107	0.736086525569142	0.712219248212357	-0.0269406755449147	0.152620278463426	0.266508956462548	0.324360213002817	0.366614864927084	0.915369764201523	0.519254802214519	0.8323792684299	0.86135538458079	0.865521530051531
YAL016W	0.648946021830366	0.506365586851685	0.30727954405256	0.274114819424425	0.161258939625821	0.0499873805873456	-0.181986949339064	-0.151273177268975	-0.239334159804528	-0.0481454368919963	0.710200792857346	0.617989854746974	0.660262207257258	0.231229931171137	0.119480390217428	0.140309816325176	0.0399770516892406	0.142682904166505	0.137656968933587	-0.0499588826842656	0.214667430573842	0.424743781383834	0.385826829743532	0.189725215626184	0.346791664879157
YAL017W	-0.38204945747313	-0.314059705902175	-0.178679626993154	0.165320373529334	0.204407277544585	-0.0030016673502643	-0.0803113611426708	-0.025249369683575	-0.283677995192651	-0.017599786451157	0.330421467072429	0.616116687400761	0.472597408039836	0.60045609126731	0.188921565663318	-0.0472342280630781	0.203300737277036	0.0170669059574752	-0.0663981669301262	0.0824785732009318	0.513107214843529	0.0980098615297563	0.0767491559182711	0.204152408620897	0.189292182254617
YAL023C	0.195284098372346	0.211922676592868	0.175017885184483	0.00288773469564932	0.0926220066155798	0.0407884180006206	0.286912440995328	0.279368257210447	0.11742124100227	0.353494654416838	0.0685799469904818	0.214677438027596	0.338165726517384	0.631688987010283	0.323025903486587	0.427284538746412	0.367885701890966	0.31894447307419	0.456661640167255	0.343684205617289	0.286487491742563	0.369348278370844	0.373949493298889	0.575472516545294	0.83450985587286
YAL035W	0.0223776526302092	0.0875289092380525	0.287689294789701	0.264877124029585	0.108221584922014	-0.0359572121602816	0.250346262697823	0.224109148030835	0.274523597938208	0.589105907226619	0.0296540965773212	-0.000771046841751893	0.098523908970336	0.324289786834248	0.0879775113104422	-0.128450613937391	0.193211092981653	0.339796938526385	0.288844551415475	0.421065968231673	-0.173327699361885	0.143280533059592	0.602109753272934	0.333603147360831	0.219636749188755
YAL038W	-1.74303254775086	-2.03794558715901	-2.17212648340904	-2.04077899918512	-1.84546314770993	-0.910719212397752	-0.751257623176807	-0.762907518063298	-0.710080564517985	-0.765001915885061	-0.901571900060104	-0.81692870237229	-0.742939122749534	-0.755915293244761	-0.587634521785712	0.0540116300979683	-0.144018288972429	-0.163179922726844	-0.294301772360772	-0.379379738964449	-0.379488087048829	-0.6180466149341	-0.735723010737827	-0.656378924497136	-0.577397932357384
YAL042W	0.356733134987023	0.46757523202443	0.802575308781454	0.778256549000697	0.703056107531137	0.415505108945553	0.580143947440447	0.576211961221284	0.67617062346698	0.786968326184358	0.671344572490239	0.810686482894094	0.917393052759432	0.820798721383558	0.606493929867043	0.660430619549465	0.338035369774108	0.534674557112409	0.427942357687326	0.991399100480589	0.48247691675603	0.395304153367756	-2.6654553875092	-0.0111967883639771	0.854417696635186
